#;MsgType;Timestamp;Lat;Lon;SpeedKnots;SpeedKmph;TrueHeading;MagnHeading
17801;RMC;12/26/2016 10:23:26 PM;49.2176038166667;16.6074216;;;;
17802;;;;;;;;NMEA message parser not found for RMB.
17803;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17804;GSA;;;;;;;
17805;GSV;;;;;;;
17806;GSV;;;;;;;
17807;;;;;;;;NMEA message parser not found for GRM.
17808;RMC;12/26/2016 10:23:27 PM;49.2175994833333;16.6074125666667;;;;
17809;;;;;;;;NMEA message parser not found for RMB.
17810;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17811;GSA;;;;;;;
17812;GSV;;;;;;;
17813;GSV;;;;;;;
17814;;;;;;;;NMEA message parser not found for GRM.
17815;RMC;12/26/2016 10:23:28 PM;49.21759515;16.60740355;;;;
17816;;;;;;;;NMEA message parser not found for RMB.
17817;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17818;GSA;;;;;;;
17819;GSV;;;;;;;
17820;GSV;;;;;;;
17821;;;;;;;;NMEA message parser not found for GRM.
17822;RMC;12/26/2016 10:23:29 PM;49.2175909;16.6073944833333;;;;
17823;;;;;;;;NMEA message parser not found for RMB.
17824;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17825;GSA;;;;;;;
17826;GSV;;;;;;;
17827;GSV;;;;;;;
17828;;;;;;;;NMEA message parser not found for GRM.
17829;RMC;12/26/2016 10:23:30 PM;49.21758685;16.6073853333333;;;;
17830;;;;;;;;NMEA message parser not found for RMB.
17831;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17832;GSA;;;;;;;
17833;GSV;;;;;;;
17834;GSV;;;;;;;
17835;;;;;;;;NMEA message parser not found for GRM.
17836;RMC;12/26/2016 10:23:31 PM;49.2175828166667;16.6073761666667;;;;
17837;;;;;;;;NMEA message parser not found for RMB.
17838;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17839;GSA;;;;;;;
17840;GSV;;;;;;;
17841;GSV;;;;;;;
17842;;;;;;;;NMEA message parser not found for GRM.
17843;RMC;12/26/2016 10:23:32 PM;49.2175787833333;16.607367;;;;
17844;;;;;;;;NMEA message parser not found for RMB.
17845;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17846;GSA;;;;;;;
17847;GSV;;;;;;;
17848;GSV;;;;;;;
17849;;;;;;;;NMEA message parser not found for GRM.
17850;RMC;12/26/2016 10:23:33 PM;49.2175747333333;16.60735785;;;;
17851;;;;;;;;NMEA message parser not found for RMB.
17852;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17853;GSA;;;;;;;
17854;GSV;;;;;;;
17855;GSV;;;;;;;
17856;;;;;;;;NMEA message parser not found for GRM.
17857;RMC;12/26/2016 10:23:34 PM;49.2175707;16.6073486833333;;;;
17858;;;;;;;;NMEA message parser not found for RMB.
17859;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17860;GSA;;;;;;;
17861;GSV;;;;;;;
17862;GSV;;;;;;;
17863;;;;;;;;NMEA message parser not found for GRM.
17864;RMC;12/26/2016 10:23:35 PM;49.2175666666667;16.6073395333333;;;;
17865;;;;;;;;NMEA message parser not found for RMB.
17866;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17867;GSA;;;;;;;
17868;GSV;;;;;;;
17869;GSV;;;;;;;
17870;;;;;;;;NMEA message parser not found for GRM.
17871;RMC;12/26/2016 10:23:36 PM;49.2175626333333;16.6073303666667;;;;
17872;;;;;;;;NMEA message parser not found for RMB.
17873;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17874;GSA;;;;;;;
17875;GSV;;;;;;;
17876;GSV;;;;;;;
17877;;;;;;;;NMEA message parser not found for GRM.
17878;RMC;12/26/2016 10:23:37 PM;49.2175585833333;16.6073212166667;;;;
17879;;;;;;;;NMEA message parser not found for RMB.
17880;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17881;GSA;;;;;;;
17882;GSV;;;;;;;
17883;GSV;;;;;;;
17884;;;;;;;;NMEA message parser not found for GRM.
17885;RMC;12/26/2016 10:23:38 PM;49.21755455;16.60731205;;;;
17886;;;;;;;;NMEA message parser not found for RMB.
17887;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17888;GSA;;;;;;;
17889;GSV;;;;;;;
17890;GSV;;;;;;;
17891;;;;;;;;NMEA message parser not found for GRM.
17892;RMC;12/26/2016 10:23:39 PM;49.2175505166667;16.6073029;;;;
17893;;;;;;;;NMEA message parser not found for RMB.
17894;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17895;GSA;;;;;;;
17896;GSV;;;;;;;
17897;GSV;;;;;;;
17898;;;;;;;;NMEA message parser not found for GRM.
17899;RMC;12/26/2016 10:23:40 PM;49.2175464833333;16.6072937333333;;;;
17900;;;;;;;;NMEA message parser not found for RMB.
17901;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17902;GSA;;;;;;;
17903;GSV;;;;;;;
17904;GSV;;;;;;;
17905;;;;;;;;NMEA message parser not found for GRM.
17906;RMC;12/26/2016 10:23:41 PM;49.2175424333333;16.6072845666667;;;;
17907;;;;;;;;NMEA message parser not found for RMB.
17908;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17909;GSA;;;;;;;
17910;GSV;;;;;;;
17911;GSV;;;;;;;
17912;;;;;;;;NMEA message parser not found for GRM.
17913;RMC;12/26/2016 10:23:42 PM;49.2175384;16.6072754166667;;;;
17914;;;;;;;;NMEA message parser not found for RMB.
17915;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17916;GSA;;;;;;;
17917;GSV;;;;;;;
17918;GSV;;;;;;;
17919;;;;;;;;NMEA message parser not found for GRM.
17920;RMC;12/26/2016 10:23:43 PM;49.2175343666667;16.60726625;;;;
17921;;;;;;;;NMEA message parser not found for RMB.
17922;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17923;GSA;;;;;;;
17924;GSV;;;;;;;
17925;GSV;;;;;;;
17926;;;;;;;;NMEA message parser not found for GRM.
17927;RMC;12/26/2016 10:23:44 PM;49.2175303166667;16.6072571;;;;
17928;;;;;;;;NMEA message parser not found for RMB.
17929;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17930;GSA;;;;;;;
17931;GSV;;;;;;;
17932;GSV;;;;;;;
17933;;;;;;;;NMEA message parser not found for GRM.
17934;RMC;12/26/2016 10:23:45 PM;49.2175262833333;16.6072479333333;;;;
17935;;;;;;;;NMEA message parser not found for RMB.
17936;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17937;GSA;;;;;;;
17938;GSV;;;;;;;
17939;GSV;;;;;;;
17940;;;;;;;;NMEA message parser not found for GRM.
17941;RMC;12/26/2016 10:23:46 PM;49.21752225;16.6072387833333;;;;
17942;;;;;;;;NMEA message parser not found for RMB.
17943;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17944;GSA;;;;;;;
17945;GSV;;;;;;;
17946;GSV;;;;;;;
17947;;;;;;;;NMEA message parser not found for GRM.
17948;RMC;12/26/2016 10:23:47 PM;49.2175182166667;16.6072296166667;;;;
17949;;;;;;;;NMEA message parser not found for RMB.
17950;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17951;GSA;;;;;;;
17952;GSV;;;;;;;
17953;GSV;;;;;;;
17954;;;;;;;;NMEA message parser not found for GRM.
17955;RMC;12/26/2016 10:23:48 PM;49.2175141666667;16.60722045;;;;
17956;;;;;;;;NMEA message parser not found for RMB.
17957;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17958;GSA;;;;;;;
17959;GSV;;;;;;;
17960;GSV;;;;;;;
17961;;;;;;;;NMEA message parser not found for GRM.
17962;RMC;12/26/2016 10:23:49 PM;49.2175101333333;16.6072113;;;;
17963;;;;;;;;NMEA message parser not found for RMB.
17964;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17965;GSA;;;;;;;
17966;GSV;;;;;;;
17967;GSV;;;;;;;
17968;;;;;;;;NMEA message parser not found for GRM.
17969;RMC;12/26/2016 10:23:50 PM;49.2175061;16.6072021333333;;;;
17970;;;;;;;;NMEA message parser not found for RMB.
17971;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17972;GSA;;;;;;;
17973;GSV;;;;;;;
17974;GSV;;;;;;;
17975;;;;;;;;NMEA message parser not found for GRM.
17976;RMC;12/26/2016 10:23:51 PM;49.2175020666667;16.6071929833333;;;;
17977;;;;;;;;NMEA message parser not found for RMB.
17978;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17979;GSA;;;;;;;
17980;GSV;;;;;;;
17981;GSV;;;;;;;
17982;;;;;;;;NMEA message parser not found for GRM.
17983;RMC;12/26/2016 10:23:52 PM;49.2174980166667;16.6071838166667;;;;
17984;;;;;;;;NMEA message parser not found for RMB.
17985;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17986;GSA;;;;;;;
17987;GSV;;;;;;;
17988;GSV;;;;;;;
17989;;;;;;;;NMEA message parser not found for GRM.
17990;RMC;12/26/2016 10:23:53 PM;49.2174939833333;16.6071746666667;;;;
17991;;;;;;;;NMEA message parser not found for RMB.
17992;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17993;GSA;;;;;;;
17994;GSV;;;;;;;
17995;GSV;;;;;;;
17996;;;;;;;;NMEA message parser not found for GRM.
17997;RMC;12/26/2016 10:23:54 PM;49.21748995;16.6071655;;;;
17998;;;;;;;;NMEA message parser not found for RMB.
17999;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18000;GSA;;;;;;;
18001;GSV;;;;;;;
18002;GSV;;;;;;;
18003;;;;;;;;NMEA message parser not found for GRM.
18004;RMC;12/26/2016 10:23:55 PM;49.2174859;16.6071563333333;;;;
18005;;;;;;;;NMEA message parser not found for RMB.
18006;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18007;GSA;;;;;;;
18008;GSV;;;;;;;
18009;GSV;;;;;;;
18010;;;;;;;;NMEA message parser not found for GRM.
18011;RMC;12/26/2016 10:23:56 PM;49.2174818666667;16.6071471833333;;;;
18012;;;;;;;;NMEA message parser not found for RMB.
18013;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18014;GSA;;;;;;;
18015;GSV;;;;;;;
18016;GSV;;;;;;;
18017;;;;;;;;NMEA message parser not found for GRM.
18018;RMC;12/26/2016 10:23:57 PM;49.2174778333333;16.6071380166667;;;;
18019;;;;;;;;NMEA message parser not found for RMB.
18020;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18021;GSA;;;;;;;
18022;GSV;;;;;;;
18023;GSV;;;;;;;
18024;;;;;;;;NMEA message parser not found for GRM.
18025;RMC;12/26/2016 10:23:58 PM;49.2174738;16.6071288666667;;;;
18026;;;;;;;;NMEA message parser not found for RMB.
18027;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18028;GSA;;;;;;;
18029;GSV;;;;;;;
18030;GSV;;;;;;;
18031;;;;;;;;NMEA message parser not found for GRM.
18032;RMC;12/26/2016 10:23:59 PM;49.21746975;16.6071197;;;;
18033;;;;;;;;NMEA message parser not found for RMB.
18034;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18035;GSA;;;;;;;
18036;GSV;;;;;;;
18037;GSV;;;;;;;
18038;;;;;;;;NMEA message parser not found for GRM.
18039;RMC;12/26/2016 10:24:00 PM;49.2174657166667;16.60711055;;;;
18040;;;;;;;;NMEA message parser not found for RMB.
18041;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18042;GSA;;;;;;;
18043;GSV;;;;;;;
18044;GSV;;;;;;;
18045;;;;;;;;NMEA message parser not found for GRM.
18046;RMC;12/26/2016 10:24:01 PM;49.2174616833333;16.6071013833333;;;;
18047;;;;;;;;NMEA message parser not found for RMB.
18048;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18049;GSA;;;;;;;
18050;GSV;;;;;;;
18051;GSV;;;;;;;
18052;;;;;;;;NMEA message parser not found for GRM.
18053;RMC;12/26/2016 10:24:02 PM;49.21745765;16.6070922166667;;;;
18054;;;;;;;;NMEA message parser not found for RMB.
18055;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18056;GSA;;;;;;;
18057;GSV;;;;;;;
18058;GSV;;;;;;;
18059;;;;;;;;NMEA message parser not found for GRM.
18060;RMC;12/26/2016 10:24:03 PM;49.2174536;16.6070830666667;;;;
18061;;;;;;;;NMEA message parser not found for RMB.
18062;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18063;GSA;;;;;;;
18064;GSV;;;;;;;
18065;GSV;;;;;;;
18066;;;;;;;;NMEA message parser not found for GRM.
18067;RMC;12/26/2016 10:24:04 PM;49.2174495666667;16.6070739;;;;
18068;;;;;;;;NMEA message parser not found for RMB.
18069;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18070;GSA;;;;;;;
18071;GSV;;;;;;;
18072;GSV;;;;;;;
18073;;;;;;;;NMEA message parser not found for GRM.
18074;RMC;12/26/2016 10:24:05 PM;49.2174455333333;16.60706475;;;;
18075;;;;;;;;NMEA message parser not found for RMB.
18076;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18077;GSA;;;;;;;
18078;GSV;;;;;;;
18079;GSV;;;;;;;
18080;;;;;;;;NMEA message parser not found for GRM.
18081;RMC;12/26/2016 10:24:06 PM;49.2174414833333;16.6070555833333;;;;
18082;;;;;;;;NMEA message parser not found for RMB.
18083;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18084;GSA;;;;;;;
18085;GSV;;;;;;;
18086;GSV;;;;;;;
18087;;;;;;;;NMEA message parser not found for GRM.
18088;RMC;12/26/2016 10:24:07 PM;49.21743745;16.6070464333333;;;;
18089;;;;;;;;NMEA message parser not found for RMB.
18090;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18091;GSA;;;;;;;
18092;GSV;;;;;;;
18093;GSV;;;;;;;
18094;;;;;;;;NMEA message parser not found for GRM.
18095;RMC;12/26/2016 10:24:08 PM;49.2174334166667;16.6070372666667;;;;
18096;;;;;;;;NMEA message parser not found for RMB.
18097;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18098;GSA;;;;;;;
18099;GSV;;;;;;;
18100;GSV;;;;;;;
18101;;;;;;;;NMEA message parser not found for GRM.
18102;RMC;12/26/2016 10:24:09 PM;49.2174293833333;16.6070281;;;;
18103;;;;;;;;NMEA message parser not found for RMB.
18104;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18105;GSA;;;;;;;
18106;GSV;;;;;;;
18107;GSV;;;;;;;
18108;;;;;;;;NMEA message parser not found for GRM.
18109;RMC;12/26/2016 10:24:10 PM;49.2174253333333;16.60701895;;;;
18110;;;;;;;;NMEA message parser not found for RMB.
18111;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18112;GSA;;;;;;;
18113;GSV;;;;;;;
18114;GSV;;;;;;;
18115;;;;;;;;NMEA message parser not found for GRM.
18116;RMC;12/26/2016 10:24:11 PM;49.2174213;16.6070097833333;;;;
18117;;;;;;;;NMEA message parser not found for RMB.
18118;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18119;GSA;;;;;;;
18120;GSV;;;;;;;
18121;GSV;;;;;;;
18122;;;;;;;;NMEA message parser not found for GRM.
18123;RMC;12/26/2016 10:24:12 PM;49.2174172666667;16.6070006333333;;;;
18124;;;;;;;;NMEA message parser not found for RMB.
18125;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18126;GSA;;;;;;;
18127;GSV;;;;;;;
18128;GSV;;;;;;;
18129;;;;;;;;NMEA message parser not found for GRM.
18130;RMC;12/26/2016 10:24:13 PM;49.2174132333333;16.6069914666667;;;;
18131;;;;;;;;NMEA message parser not found for RMB.
18132;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18133;GSA;;;;;;;
18134;GSV;;;;;;;
18135;GSV;;;;;;;
18136;;;;;;;;NMEA message parser not found for GRM.
18137;RMC;12/26/2016 10:24:14 PM;49.2174091833333;16.6069823166667;;;;
18138;;;;;;;;NMEA message parser not found for RMB.
18139;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18140;GSA;;;;;;;
18141;GSV;;;;;;;
18142;GSV;;;;;;;
18143;;;;;;;;NMEA message parser not found for GRM.
18144;RMC;12/26/2016 10:24:15 PM;49.21740515;16.60697315;;;;
18145;;;;;;;;NMEA message parser not found for RMB.
18146;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18147;GSA;;;;;;;
18148;GSV;;;;;;;
18149;GSV;;;;;;;
18150;;;;;;;;NMEA message parser not found for GRM.
18151;RMC;12/26/2016 10:24:16 PM;49.2174011166667;16.6069639833333;;;;
18152;;;;;;;;NMEA message parser not found for RMB.
18153;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18154;GSA;;;;;;;
18155;GSV;;;;;;;
18156;GSV;;;;;;;
18157;;;;;;;;NMEA message parser not found for GRM.
18158;RMC;12/26/2016 10:24:17 PM;49.2173970666667;16.6069548333333;;;;
18159;;;;;;;;NMEA message parser not found for RMB.
18160;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18161;GSA;;;;;;;
18162;GSV;;;;;;;
18163;GSV;;;;;;;
18164;;;;;;;;NMEA message parser not found for GRM.
18165;RMC;12/26/2016 10:24:18 PM;49.2173930333333;16.6069456666667;;;;
18166;;;;;;;;NMEA message parser not found for RMB.
18167;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18168;GSA;;;;;;;
18169;GSV;;;;;;;
18170;GSV;;;;;;;
18171;;;;;;;;NMEA message parser not found for GRM.
18172;RMC;12/26/2016 10:24:19 PM;49.217389;16.6069365166667;;;;
18173;;;;;;;;NMEA message parser not found for RMB.
18174;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18175;GSA;;;;;;;
18176;GSV;;;;;;;
18177;GSV;;;;;;;
18178;;;;;;;;NMEA message parser not found for GRM.
18179;RMC;12/26/2016 10:24:20 PM;49.2173849666667;16.60692735;;;;
18180;;;;;;;;NMEA message parser not found for RMB.
18181;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18182;GSA;;;;;;;
18183;GSV;;;;;;;
18184;GSV;;;;;;;
18185;;;;;;;;NMEA message parser not found for GRM.
18186;RMC;12/26/2016 10:24:21 PM;49.2173809166667;16.6069182;;;;
18187;;;;;;;;NMEA message parser not found for RMB.
18188;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18189;GSA;;;;;;;
18190;GSV;;;;;;;
18191;GSV;;;;;;;
18192;;;;;;;;NMEA message parser not found for GRM.
18193;RMC;12/26/2016 10:24:22 PM;49.2173768833333;16.6069090333333;;;;
18194;;;;;;;;NMEA message parser not found for RMB.
18195;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18196;GSA;;;;;;;
18197;GSV;;;;;;;
18198;GSV;;;;;;;
18199;;;;;;;;NMEA message parser not found for GRM.
18200;RMC;12/26/2016 10:24:23 PM;49.21737285;16.6068998833333;;;;
18201;;;;;;;;NMEA message parser not found for RMB.
18202;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18203;GSA;;;;;;;
18204;GSV;;;;;;;
18205;GSV;;;;;;;
18206;;;;;;;;NMEA message parser not found for GRM.
18207;RMC;12/26/2016 10:24:24 PM;49.2173688;16.6068907166667;;;;
18208;;;;;;;;NMEA message parser not found for RMB.
18209;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18210;GSA;;;;;;;
18211;GSV;;;;;;;
18212;GSV;;;;;;;
18213;;;;;;;;NMEA message parser not found for GRM.
18214;RMC;12/26/2016 10:24:25 PM;49.2173647666667;16.60688155;;;;
18215;;;;;;;;NMEA message parser not found for RMB.
18216;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18217;GSA;;;;;;;
18218;GSV;;;;;;;
18219;GSV;;;;;;;
18220;;;;;;;;NMEA message parser not found for GRM.
18221;RMC;12/26/2016 10:24:26 PM;49.2173607333333;16.6068724;;;;
18222;;;;;;;;NMEA message parser not found for RMB.
18223;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18224;GSA;;;;;;;
18225;GSV;;;;;;;
18226;GSV;;;;;;;
18227;;;;;;;;NMEA message parser not found for GRM.
18228;RMC;12/26/2016 10:24:27 PM;49.2173567;16.6068632333333;;;;
18229;;;;;;;;NMEA message parser not found for RMB.
18230;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18231;GSA;;;;;;;
18232;GSV;;;;;;;
18233;GSV;;;;;;;
18234;;;;;;;;NMEA message parser not found for GRM.
18235;RMC;12/26/2016 10:24:28 PM;49.21735265;16.6068540833333;;;;
18236;;;;;;;;NMEA message parser not found for RMB.
18237;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18238;GSA;;;;;;;
18239;GSV;;;;;;;
18240;GSV;;;;;;;
18241;;;;;;;;NMEA message parser not found for GRM.
18242;RMC;12/26/2016 10:24:29 PM;49.2173486166667;16.6068449166667;;;;
18243;;;;;;;;NMEA message parser not found for RMB.
18244;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18245;GSA;;;;;;;
18246;GSV;;;;;;;
18247;GSV;;;;;;;
18248;;;;;;;;NMEA message parser not found for GRM.
18249;RMC;12/26/2016 10:24:30 PM;49.2173445833333;16.6068357666667;;;;
18250;;;;;;;;NMEA message parser not found for RMB.
18251;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18252;GSA;;;;;;;
18253;GSV;;;;;;;
18254;GSV;;;;;;;
18255;;;;;;;;NMEA message parser not found for GRM.
18256;RMC;12/26/2016 10:24:31 PM;49.21734055;16.6068266;;;;
18257;;;;;;;;NMEA message parser not found for RMB.
18258;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18259;GSA;;;;;;;
18260;GSV;;;;;;;
18261;GSV;;;;;;;
18262;;;;;;;;NMEA message parser not found for GRM.
18263;RMC;12/26/2016 10:24:32 PM;49.2173365;16.6068174333333;;;;
18264;;;;;;;;NMEA message parser not found for RMB.
18265;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18266;GSA;;;;;;;
18267;GSV;;;;;;;
18268;GSV;;;;;;;
18269;;;;;;;;NMEA message parser not found for GRM.
18270;RMC;12/26/2016 10:24:33 PM;49.2173324666667;16.6068082833333;;;;
18271;;;;;;;;NMEA message parser not found for RMB.
18272;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18273;GSA;;;;;;;
18274;GSV;;;;;;;
18275;GSV;;;;;;;
18276;;;;;;;;NMEA message parser not found for GRM.
18277;RMC;12/26/2016 10:24:34 PM;49.2173284333333;16.6067991166667;;;;
18278;;;;;;;;NMEA message parser not found for RMB.
18279;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18280;GSA;;;;;;;
18281;GSV;;;;;;;
18282;GSV;;;;;;;
18283;;;;;;;;NMEA message parser not found for GRM.
18284;RMC;12/26/2016 10:24:35 PM;49.2173243833333;16.6067899666667;;;;
18285;;;;;;;;NMEA message parser not found for RMB.
18286;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18287;GSA;;;;;;;
18288;GSV;;;;;;;
18289;GSV;;;;;;;
18290;;;;;;;;NMEA message parser not found for GRM.
18291;RMC;12/26/2016 10:24:36 PM;49.21732035;16.6067808;;;;
18292;;;;;;;;NMEA message parser not found for RMB.
18293;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18294;GSA;;;;;;;
18295;GSV;;;;;;;
18296;GSV;;;;;;;
18297;;;;;;;;NMEA message parser not found for GRM.
18298;RMC;12/26/2016 10:24:37 PM;49.2173163833333;16.6067716166667;;;;
18299;;;;;;;;NMEA message parser not found for RMB.
18300;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18301;GSA;;;;;;;
18302;GSV;;;;;;;
18303;GSV;;;;;;;
18304;;;;;;;;NMEA message parser not found for GRM.
18305;RMC;12/26/2016 10:24:38 PM;49.2173124166667;16.6067624166667;;;;
18306;;;;;;;;NMEA message parser not found for RMB.
18307;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18308;GSA;;;;;;;
18309;GSV;;;;;;;
18310;GSV;;;;;;;
18311;;;;;;;;NMEA message parser not found for GRM.
18312;RMC;12/26/2016 10:24:39 PM;49.21730845;16.6067532333333;;;;
18313;;;;;;;;NMEA message parser not found for RMB.
18314;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18315;GSA;;;;;;;
18316;GSV;;;;;;;
18317;GSV;;;;;;;
18318;;;;;;;;NMEA message parser not found for GRM.
18319;RMC;12/26/2016 10:24:40 PM;49.2173044833333;16.60674405;;;;
18320;;;;;;;;NMEA message parser not found for RMB.
18321;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18322;GSA;;;;;;;
18323;GSV;;;;;;;
18324;GSV;;;;;;;
18325;;;;;;;;NMEA message parser not found for GRM.
18326;RMC;12/26/2016 10:24:41 PM;49.2173005166667;16.60673485;;;;
18327;;;;;;;;NMEA message parser not found for RMB.
18328;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18329;GSA;;;;;;;
18330;GSV;;;;;;;
18331;GSV;;;;;;;
18332;;;;;;;;NMEA message parser not found for GRM.
18333;RMC;12/26/2016 10:24:42 PM;49.21729655;16.6067256666667;;;;
18334;;;;;;;;NMEA message parser not found for RMB.
18335;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18336;GSA;;;;;;;
18337;GSV;;;;;;;
18338;GSV;;;;;;;
18339;;;;;;;;NMEA message parser not found for GRM.
18340;RMC;12/26/2016 10:24:43 PM;49.2172925833333;16.6067164666667;;;;
18341;;;;;;;;NMEA message parser not found for RMB.
18342;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
18343;GSA;;;;;;;
18344;GSV;;;;;;;
18345;GSV;;;;;;;
18346;;;;;;;;NMEA message parser not found for GRM.
18347;RMC;12/26/2016 10:24:44 PM;49.2172886166667;16.6067072833333;;;;
